CumulativeImmune,CumulativePopulation,CumulativeSick,CumulativeSusceptible,CumulativeVaccinated,ProportionImmune,ProportionSick,ProportionSusceptible,ProportionVaccinated,immunityPeriod,infectiousPeriod,socialDistancingLevels,vaccinationRate,openmole$experiment,temp
4122.1,11654.6,3557.8,2920.8,1053.9,0.3538,0.3054,0.2508,0.0903,10.69527458,2.808301855,2.960916636,6.93E-01,721,0.001733705
4041.3,11915.8,3748.1,3073.9,1052.5,0.3391,0.3147,0.2584,0.0882,9.335550911,3.533043919,2.562323828,1.75E+00,731,0.004374109
3915.4,11106.7,3466.9,2747.1,977.3,0.3525,0.3123,0.2479,0.0876,10.72329152,3.393657227,2.843278239,3.13E-01,737,7.82E-04
3990.5,11526.2,3593.7,2959.6,982.4,0.3461,0.3118,0.2572,0.0851,9.725436245,2.825032207,1.543547356,9.54E-01,736,0.002383822
3997.8,11515.9,3578.1,2939.6,1000.4,0.347,0.3106,0.2558,0.0866,10.23743139,3.196684886,2.792022337,3.20E-01,805,8.00E-04
3994.4,11312.2,3459.5,2738.4,1119.9,0.353,0.306,0.2427,0.0983,10.88381567,3.177470547,1.863545681,1.88E+00,812,0.00470167
4172.7,12219.4,3688.7,3145.4,1212.6,0.3413,0.3019,0.2576,0.0991,9.054136337,2.798572272,2.891690642,1.97E+00,798,0.004924258
3911,10970.6,3456.7,2614.3,988.6,0.3565,0.3151,0.2384,0.0901,10.97113449,3.554702886,2.701363904,8.35E-01,807,0.002086351
4032.1,11490.5,3568.9,2899,990.5,0.3506,0.3108,0.2529,0.0858,10.56809601,2.972512436,1.352208877,1.88E-01,810,4.70E-04
4274.7,12260.2,3789.6,3093.8,1102.1,0.3485,0.3092,0.2527,0.0895,9.882506583,2.69231572,1.885942847,1.25E+00,826,0.00313182
3957.7,11279.3,3549.8,2802.7,969.1,0.3505,0.3149,0.2488,0.0856,10.57149444,3.705066512,2.548673663,1.42E-03,817,3.56E-06
3825,11054.3,3433.6,2838.5,957.2,0.3458,0.3108,0.257,0.0864,10.48347788,3.224711768,2.947615979,7.79E-01,863,0.001946663
4114.3,12166.6,3918.6,3090.1,1043.6,0.3378,0.3221,0.2544,0.0856,9.090408475,3.908592468,1.008955703,1.95E+00,874,0.004881446
4212.6,12124.2,3743.9,3070.7,1097,0.3472,0.3088,0.2541,0.0901,9.683708077,2.660996903,1.115380829,1.58E+00,854,0.003961826
3985.6,11731.1,3710.1,2994,1041.4,0.3395,0.3163,0.2559,0.0885,9.747539753,3.251784878,1.157792143,1.54E+00,849,0.003846545
4055.3,11852.2,3593.4,3040.9,1162.6,0.342,0.3034,0.2569,0.0977,9.750135271,2.655284466,1.675776914,1.97E+00,851,0.00492808
4227.3,11816.3,3570.4,3034.1,984.5,0.3576,0.3022,0.2573,0.0831,9.837599665,2.065994441,2.595596416,1.57E-01,859,3.92E-04
3905.4,11379.4,3605.6,2884.3,984.1,0.3432,0.3169,0.2537,0.0862,10.31831689,3.738490233,1.442898023,1.01E+00,820,0.002516015
3992.9,11472,3459.4,2916.3,1103.4,0.3479,0.3014,0.2544,0.0961,10.38207763,2.711525839,1.848700609,1.79E+00,823,0.004469505
4206.9,12074.8,3810.4,3070.3,987.2,0.348,0.3157,0.2548,0.0815,9.286809167,2.99899291,1.550633903,9.06E-01,899,0.00226524
4325.5,12210.2,3800.2,3084.2,1000.3,0.354,0.3112,0.2533,0.0815,9.573116513,2.567489564,1.700788233,9.30E-02,866,2.32E-04
3824.2,11141.8,3540.3,2869.4,907.9,0.3432,0.3178,0.2579,0.0811,10.12640396,3.57262115,2.176595179,2.60E-01,905,6.49E-04
4177.8,11845,3596.2,3014.5,1056.5,0.3525,0.3035,0.255,0.0889,10.00626836,2.253335504,2.007288034,1.09E+00,902,0.002730854
4224.7,12024,3625.1,3108.3,1065.9,0.3511,0.3015,0.259,0.0884,9.133859135,2.276931267,2.313128508,1.37E+00,903,0.00343516
4167.9,11975.2,3572.6,3041.7,1193,0.3479,0.2984,0.2547,0.0992,9.944982993,2.167004948,1.057090821,1.76E+00,910,0.004407986
3921.4,11094.9,3352.1,2872,949.4,0.3534,0.3024,0.259,0.0855,10.62769846,2.421440234,2.436710013,2.90E-01,912,7.24E-04
4048.3,11546.2,3528.7,2987.5,981.7,0.3505,0.3056,0.2591,0.0847,10.02953142,2.416029866,2.471047301,5.88E-01,882,0.00147092
3796.7,11165.1,3526.2,2896.9,945.3,0.3398,0.3158,0.2597,0.0846,9.975701473,3.412272517,2.71936943,9.68E-01,876,0.002420709
4117.3,11684.3,3594.3,3030.2,942.5,0.3522,0.3077,0.2596,0.0806,9.394958529,2.410771302,1.769143588,3.67E-01,879,9.17E-04
3788.6,11014.2,3291,2848.1,1086.5,0.3439,0.2989,0.2589,0.0985,10.53830314,2.734994837,2.849102804,1.86E+00,887,0.004645813
4130.6,11584.6,3611.8,2810,1032.2,0.3564,0.312,0.2429,0.0889,10.76029163,3.368874941,2.017823787,5.30E-03,890,1.33E-05
3973.4,11368.5,3489.8,2931.9,973.4,0.3494,0.307,0.2583,0.0854,9.915257608,2.395104755,1.530037205,9.45E-01,894,0.002363679
3856.3,11265.6,3591.5,2890.8,927,0.3422,0.3186,0.2567,0.0822,10.20547297,3.732196598,2.139650696,2.72E-02,861,6.80E-05
3985.5,11299.9,3432.7,2851.2,1030.5,0.3526,0.3038,0.2523,0.0911,10.73172252,2.593249889,2.059570029,9.89E-01,871,0.002472455
3981.7,11136,3462.7,2736.5,955.1,0.3574,0.311,0.2463,0.0853,10.86514261,2.979979871,1.807793314,3.63E-01,857,9.07E-04
4112.3,11880,3754.8,3010.4,1002.5,0.346,0.3164,0.2539,0.084,9.86278863,3.140254268,1.781155301,1.26E-01,891,3.15E-04
4160.7,11867.7,3692.7,3005.4,1008.9,0.3504,0.3112,0.2533,0.0848,10.09727874,2.7788059,1.956508158,3.82E-01,934,9.55E-04
3905.9,10931.2,3344.8,2718.4,962.1,0.3571,0.306,0.249,0.0878,10.94298995,2.554337085,1.04231493,1.24E+00,998,0.003107216
4267.4,12141.2,3798,3062.6,1013.2,0.3514,0.3129,0.2528,0.083,9.907380931,2.512917458,1.152988122,2.56E-01,962,6.39E-04
4115.4,11892.2,3694.2,3035.9,1046.7,0.3459,0.3107,0.2558,0.0877,10.09932052,3.220957508,2.606240101,9.10E-01,963,0.002275977
3978.9,11259.1,3428,2871.5,980.7,0.3533,0.3046,0.2551,0.0869,10.66692105,2.553549354,1.86503631,7.34E-01,869,0.001834203
4072.3,12030.6,3831.4,3082.5,1044.4,0.3384,0.3185,0.2565,0.0863,9.646897129,3.700517473,2.883636556,1.16E+00,966,0.002904967
3931.6,11315.7,3464.7,2956.1,963.3,0.3473,0.306,0.2615,0.085,9.947460292,2.460156614,2.230668667,1.82E-01,919,4.56E-04
4022.1,11817.5,3834.1,3010.8,950.5,0.3404,0.3246,0.255,0.0803,9.538947973,3.65045948,1.372328266,1.07E-01,924,2.66E-04
4051.6,11869.7,3839.2,3006.8,972.1,0.3413,0.3234,0.2533,0.0818,9.701765022,3.72368062,1.697687108,7.30E-02,927,1.82E-04
4160.9,11765.1,3572.1,3017.7,1014.4,0.3533,0.3036,0.2569,0.086,9.599157228,2.209138048,1.469950751,1.05E+00,929,0.002614172
3860.9,11275.6,3416.4,2911,1087.3,0.3423,0.3032,0.2584,0.0959,10.26158674,2.759786112,2.658625046,1.73E+00,974,0.004335133
4122.9,12213.5,3855.1,3071.8,1163.7,0.3373,0.3158,0.2522,0.0948,9.783939625,3.592856621,1.300445947,1.99E+00,932,0.004973521
4214.3,12417,3991.9,3114.3,1096.5,0.3391,0.3215,0.2513,0.0879,9.333306921,3.926203747,2.420703223,1.07E+00,884,0.002676501
4103.4,11888.5,3751.4,2992.9,1040.8,0.3451,0.3155,0.252,0.0872,10.28460638,3.847545072,2.683907169,6.62E-01,896,0.001655988
3951.5,11044,3385,2728.9,978.6,0.3574,0.3065,0.2475,0.0882,10.97311721,2.66324205,2.438601436,6.13E-01,915,0.00153289
3949.1,11665.5,3665.5,2962.8,1088.1,0.3384,0.3141,0.2544,0.0928,10.02708312,3.788264049,2.181152243,1.86E+00,907,0.00465224
3995,11166.2,3408,2793,970.2,0.3574,0.3053,0.2506,0.0867,10.82475574,2.546445946,2.196758348,5.45E-01,968,0.001362167
4173.2,11815.4,3607.2,3071.4,963.6,0.3529,0.3053,0.2604,0.0814,9.336952373,2.045195071,1.315821719,6.02E-01,917,0.001505937
4190.6,11916.2,3708.1,3016.1,1001.4,0.3515,0.3111,0.2532,0.084,9.67425828,2.668021594,1.214535629,3.30E-01,922,8.26E-04
